"CCAA","año","total","mes"
"15 Navarra, Comunidad Foral de","2007","4.2",""
"15 Navarra, Comunidad Foral de","2006","2.1",""
"15 Navarra, Comunidad Foral de","2005","3.7",""
"15 Navarra, Comunidad Foral de","2004","3.3",""
"15 Navarra, Comunidad Foral de","2003","2.8",""
"15 Navarra, Comunidad Foral de","2002","4",""
"15 Navarra, Comunidad Foral de","2001","2.7",""
"15 Navarra, Comunidad Foral de","2000","4.1",""
"15 Navarra, Comunidad Foral de","1999","3.3",""
"16 País Vasco","2008","1.9",""
"16 País Vasco","2007","4.2",""
"16 País Vasco","2006","2.6",""
"16 País Vasco","2005","3.7",""
"16 País Vasco","2004","3.2",""
"16 País Vasco","2003","2.6",""
"16 País Vasco","2002","3.9",""
"16 País Vasco","2001","3.4",""
"16 País Vasco","2000","3.8",""
"16 País Vasco","1999","3",""
"17 Rioja, La","2008","1.6",""
"17 Rioja, La","2007","3.9",""
"17 Rioja, La","2006","3.1",""
"17 Rioja, La","2005","4.4",""
"17 Rioja, La","2004","3.3",""
"17 Rioja, La","2003","2.4",""
"17 Rioja, La","2002","3.8",""
"17 Rioja, La","2001","3.6",""
"17 Rioja, La","2000","4.5",""
"17 Rioja, La","1999","3.6",""
"18 Ceuta","2008","2.1",""
"18 Ceuta","2007","3",""
"18 Ceuta","2006","2.4",""
"18 Ceuta","2005","3.2",""
"18 Ceuta","2004","2.7",""
"18 Ceuta","2003","3.8",""
"18 Ceuta","2002","3.8",""
"18 Ceuta","2001","3.2",""
"18 Ceuta","2000","3.4",""
"18 Ceuta","1999","1.6",""
"19 Melilla","2008","1.8",""
"19 Melilla","2007","3.8",""
"19 Melilla","2006","2.9",""
"19 Melilla","2005","4.3",""
"19 Melilla","2004","4.2",""
"19 Melilla","2003","3.4",""
"19 Melilla","2002","4.2",""
"19 Melilla","2001","2.5",""
"19 Melilla","2000","4.2",""
"19 Melilla","1999","2.9",""
