Grupos ECOICOP;Tipo de dato;Periodo;Total
Índice general;Variación anual;2023M12;3,1
Índice general;Variación anual;2023M11;3,2
Índice general;Variación anual;2023M10;3,5
Índice general;Variación anual;2023M09;3,5
Índice general;Variación anual;2023M08;2,6
Índice general;Variación anual;2023M07;2,3
Índice general;Variación anual;2023M06;1,9
Índice general;Variación anual;2023M05;3,2
Índice general;Variación anual;2023M04;4,1
Índice general;Variación anual;2023M03;3,3
Índice general;Variación anual;2023M02;6,0
Índice general;Variación anual;2023M01;5,9
Índice general;Variación anual;2022M12;5,7
Índice general;Variación anual;2022M11;6,8
Índice general;Variación anual;2022M10;7,3
Índice general;Variación anual;2022M09;8,9
Índice general;Variación anual;2022M08;10,5
Índice general;Variación anual;2022M07;10,8
Índice general;Variación anual;2022M06;10,2
Índice general;Variación anual;2022M05;8,7
Índice general;Variación anual;2022M04;8,3
Índice general;Variación anual;2022M03;9,8
Índice general;Variación anual;2022M02;7,6
Índice general;Variación anual;2022M01;6,1
Índice general;Variación anual;2021M12;6,5
Índice general;Variación anual;2021M11;5,5
Índice general;Variación anual;2021M10;5,4
Índice general;Variación anual;2021M09;4,0
Índice general;Variación anual;2021M08;3,3
Índice general;Variación anual;2021M07;2,9
Índice general;Variación anual;2021M06;2,7
Índice general;Variación anual;2021M05;2,7
Índice general;Variación anual;2021M04;2,2
Índice general;Variación anual;2021M03;1,3
Índice general;Variación anual;2021M02;0,0
Índice general;Variación anual;2021M01;0,5
Índice general;Variación anual;2020M12;-0,5
Índice general;Variación anual;2020M11;-0,8
Índice general;Variación anual;2020M10;-0,8
Índice general;Variación anual;2020M09;-0,4
Índice general;Variación anual;2020M08;-0,5
Índice general;Variación anual;2020M07;-0,6
Índice general;Variación anual;2020M06;-0,3
Índice general;Variación anual;2020M05;-0,9
Índice general;Variación anual;2020M04;-0,7
Índice general;Variación anual;2020M03;0,0
Índice general;Variación anual;2020M02;0,7
Índice general;Variación anual;2020M01;1,1
Índice general;Variación anual;2019M12;0,8
Índice general;Variación anual;2019M11;0,4
Índice general;Variación anual;2019M10;0,1
Índice general;Variación anual;2019M09;0,1
Índice general;Variación anual;2019M08;0,3
Índice general;Variación anual;2019M07;0,5
Índice general;Variación anual;2019M06;0,4
Índice general;Variación anual;2019M05;0,8
Índice general;Variación anual;2019M04;1,5
Índice general;Variación anual;2019M03;1,3
