Comunidades y Ciudades Autónomas;Tipo de dato;Periodo;Total
Nacional;Variación mensual;2001M03;0,4
Nacional;Variación mensual;2001M02;0,3
Nacional;Variación mensual;2001M01;0,0
Nacional;Variación mensual;2000M12;0,3
Nacional;Variación mensual;2000M11;0,2
Nacional;Variación mensual;2000M10;0,3
Nacional;Variación mensual;2000M09;0,3
Nacional;Variación mensual;2000M08;0,4
Nacional;Variación mensual;2000M07;0,6
Nacional;Variación mensual;2000M06;0,3
Nacional;Variación mensual;2000M05;0,2
Nacional;Variación mensual;2000M04;0,4
Nacional;Variación mensual;2000M03;0,4
Nacional;Variación mensual;2000M02;0,1
Nacional;Variación mensual;2000M01;0,3
Nacional;Variación mensual;1999M12;0,5
Nacional;Variación mensual;1999M11;0,2
Nacional;Variación mensual;1999M10;0,0
Nacional;Variación mensual;1999M09;0,2
Nacional;Variación mensual;1999M08;0,4
Nacional;Variación mensual;1999M07;0,4
Nacional;Variación mensual;1999M06;0,0
Nacional;Variación mensual;1999M05;0,0
Nacional;Variación mensual;1999M04;0,4
Nacional;Variación mensual;1999M03;0,4
Nacional;Variación mensual;1999M02;0,1
Nacional;Variación mensual;1999M01;0,4
Nacional;Variación mensual;1998M12;0,3
Nacional;Variación mensual;1998M11;-0,1
Nacional;Variación mensual;1998M10;0,0
Nacional;Variación mensual;1998M09;0,1
Nacional;Variación mensual;1998M08;0,3
Nacional;Variación mensual;1998M07;0,4
Nacional;Variación mensual;1998M06;0,1
Nacional;Variación mensual;1998M05;0,1
Nacional;Variación mensual;1998M04;0,2
Nacional;Variación mensual;1998M03;0,0
Nacional;Variación mensual;1998M02;-0,2
Nacional;Variación mensual;1998M01;0,2
Nacional;Variación mensual;1997M12;0,3
Nacional;Variación mensual;1997M11;0,2
Nacional;Variación mensual;1997M10;0,0
Nacional;Variación mensual;1997M09;0,5
Nacional;Variación mensual;1997M08;0,4
Nacional;Variación mensual;1997M07;0,2
Nacional;Variación mensual;1997M06;0,0
Nacional;Variación mensual;1997M05;0,1
Nacional;Variación mensual;1997M04;0,0
Nacional;Variación mensual;1997M03;0,0
Nacional;Variación mensual;1997M02;-0,1
Nacional;Variación mensual;1997M01;0,3
Nacional;Variación mensual;1996M12;0,3
Nacional;Variación mensual;1996M11;0,0
Nacional;Variación mensual;1996M10;0,1
Nacional;Variación mensual;1996M09;0,2
Nacional;Variación mensual;1996M08;0,3
Nacional;Variación mensual;1996M07;0,1
Nacional;Variación mensual;1996M06;-0,1
Nacional;Variación mensual;1996M05;0,3
Nacional;Variación mensual;1996M04;0,6
Nacional;Variación mensual;1996M03;0,4
Nacional;Variación mensual;1996M02;0,3
Nacional;Variación mensual;1996M01;0,6
Nacional;Variación mensual;1995M12;0,3
Nacional;Variación mensual;1995M11;0,3
Nacional;Variación mensual;1995M10;0,2
Nacional;Variación mensual;1995M09;0,4
Nacional;Variación mensual;1995M08;0,3
Nacional;Variación mensual;1995M07;0,0
Nacional;Variación mensual;1995M06;0,1
Nacional;Variación mensual;1995M05;0,0
Nacional;Variación mensual;1995M04;0,5
Nacional;Variación mensual;1995M03;0,6
Nacional;Variación mensual;1995M02;0,5
Nacional;Variación mensual;1995M01;1,0
Nacional;Variación mensual;1994M12;0,4
Nacional;Variación mensual;1994M11;0,2
Nacional;Variación mensual;1994M10;0,2
Nacional;Variación mensual;1994M09;0,3
Nacional;Variación mensual;1994M08;0,6
Nacional;Variación mensual;1994M07;0,4
Nacional;Variación mensual;1994M06;0,1
Nacional;Variación mensual;1994M05;0,2
Nacional;Variación mensual;1994M04;0,4
Nacional;Variación mensual;1994M03;0,3
Nacional;Variación mensual;1994M02;0,0
Nacional;Variación mensual;1994M01;1,0
Nacional;Variación mensual;1993M12;0,5
Nacional;Variación mensual;1993M11;0,2
Nacional;Variación mensual;1993M10;0,4
Nacional;Variación mensual;1993M09;0,6
Nacional;Variación mensual;1993M08;0,6
Nacional;Variación mensual;1993M07;0,4
Nacional;Variación mensual;1993M06;0,2
Nacional;Variación mensual;1993M05;0,3
Nacional;Variación mensual;1993M04;0,4
Nacional;Variación mensual;1993M03;0,4
Nacional;Variación mensual;1993M02;0,0
Nacional;Variación mensual;1993M01;0,9
Nacional;Variación mensual;1992M12;0,3
Nacional;Variación mensual;1992M11;0,1
Nacional;Variación mensual;1992M10;0,1
Nacional;Variación mensual;1992M09;0,8
Nacional;Variación mensual;1992M08;0,9
Nacional;Variación mensual;1992M07;0,3
Nacional;Variación mensual;1992M06;0,0
Nacional;Variación mensual;1992M05;0,3
Nacional;Variación mensual;1992M04;-0,1
Nacional;Variación mensual;1992M03;0,4
Nacional;Variación mensual;1992M02;0,7
Nacional;Variación mensual;1992M01;1,6
Nacional;Variación mensual;1991M12;0,1
Nacional;Variación mensual;1991M11;0,2
Nacional;Variación mensual;1991M10;0,6
Nacional;Variación mensual;1991M09;0,8
Nacional;Variación mensual;1991M08;0,4
Nacional;Variación mensual;1991M07;1,2
Nacional;Variación mensual;1991M06;0,3
Nacional;Variación mensual;1991M05;0,3
Nacional;Variación mensual;1991M04;0,2
Nacional;Variación mensual;1991M03;0,3
Nacional;Variación mensual;1991M02;-0,1
Nacional;Variación mensual;1991M01;1,2
Nacional;Variación mensual;1990M12;0,2
Nacional;Variación mensual;1990M11;-0,1
Nacional;Variación mensual;1990M10;0,9
Nacional;Variación mensual;1990M09;1,1
Nacional;Variación mensual;1990M08;0,4
Nacional;Variación mensual;1990M07;1,3
Nacional;Variación mensual;1990M06;0,3
Nacional;Variación mensual;1990M05;0,0
Nacional;Variación mensual;1990M04;0,2
Nacional;Variación mensual;1990M03;0,4
Nacional;Variación mensual;1990M02;0,6
Nacional;Variación mensual;1990M01;1,0
Nacional;Variación mensual;1989M12;0,4
Nacional;Variación mensual;1989M11;0,2
Nacional;Variación mensual;1989M10;0,4
Nacional;Variación mensual;1989M09;1,1
Nacional;Variación mensual;1989M08;0,2
Nacional;Variación mensual;1989M07;1,6
Nacional;Variación mensual;1989M06;0,5
Nacional;Variación mensual;1989M05;0,1
Nacional;Variación mensual;1989M04;0,3
Nacional;Variación mensual;1989M03;0,6
Nacional;Variación mensual;1989M02;0,1
Nacional;Variación mensual;1989M01;1,2
Nacional;Variación mensual;1988M12;0,8
Nacional;Variación mensual;1988M11;-0,1
Nacional;Variación mensual;1988M10;0,1
Nacional;Variación mensual;1988M09;0,9
Nacional;Variación mensual;1988M08;1,0
Nacional;Variación mensual;1988M07;1,3
Nacional;Variación mensual;1988M06;0,4
Nacional;Variación mensual;1988M05;0,0
Nacional;Variación mensual;1988M04;-0,3
Nacional;Variación mensual;1988M03;0,7
Nacional;Variación mensual;1988M02;0,3
Nacional;Variación mensual;1988M01;0,6
Nacional;Variación mensual;1987M12;0,4
Nacional;Variación mensual;1987M11;-0,2
Nacional;Variación mensual;1987M10;0,6
Nacional;Variación mensual;1987M09;0,9
Nacional;Variación mensual;1987M08;0,0
Nacional;Variación mensual;1987M07;1,0
Nacional;Variación mensual;1987M06;0,0
Nacional;Variación mensual;1987M05;-0,1
Nacional;Variación mensual;1987M04;0,2
Nacional;Variación mensual;1987M03;0,6
Nacional;Variación mensual;1987M02;0,4
Nacional;Variación mensual;1987M01;0,8
Nacional;Variación mensual;1986M12;0,4
Nacional;Variación mensual;1986M11;-0,2
Nacional;Variación mensual;1986M10;0,4
Nacional;Variación mensual;1986M09;1,0
Nacional;Variación mensual;1986M08;0,3
Nacional;Variación mensual;1986M07;1,0
Nacional;Variación mensual;1986M06;0,9
Nacional;Variación mensual;1986M05;0,3
Nacional;Variación mensual;1986M04;0,2
Nacional;Variación mensual;1986M03;0,3
Nacional;Variación mensual;1986M02;0,4
Nacional;Variación mensual;1986M01;2,9
Nacional;Variación mensual;1985M12;0,4
Nacional;Variación mensual;1985M11;0,8
Nacional;Variación mensual;1985M10;0,5
Nacional;Variación mensual;1985M09;1,1
Nacional;Variación mensual;1985M08;0,1
Nacional;Variación mensual;1985M07;0,6
Nacional;Variación mensual;1985M06;-0,2
Nacional;Variación mensual;1985M05;0,3
Nacional;Variación mensual;1985M04;1,0
Nacional;Variación mensual;1985M03;0,6
Nacional;Variación mensual;1985M02;0,7
Nacional;Variación mensual;1985M01;1,9
Nacional;Variación mensual;1984M12;0,7
Nacional;Variación mensual;1984M11;0,5
Nacional;Variación mensual;1984M10;0,6
Nacional;Variación mensual;1984M09;0,2
Nacional;Variación mensual;1984M08;0,7
Nacional;Variación mensual;1984M07;1,5
Nacional;Variación mensual;1984M06;0,7
Nacional;Variación mensual;1984M05;0,5
Nacional;Variación mensual;1984M04;0,5
Nacional;Variación mensual;1984M03;0,8
Nacional;Variación mensual;1984M02;0,4
Nacional;Variación mensual;1984M01;1,5
Nacional;Variación mensual;1983M12;1,6
Nacional;Variación mensual;1983M11;1,0
Nacional;Variación mensual;1983M10;1,4
Nacional;Variación mensual;1983M09;0,8
Nacional;Variación mensual;1983M08;1,3
Nacional;Variación mensual;1983M07;0,4
Nacional;Variación mensual;1983M06;0,6
Nacional;Variación mensual;1983M05;0,4
Nacional;Variación mensual;1983M04;1,4
Nacional;Variación mensual;1983M03;0,6
Nacional;Variación mensual;1983M02;0,5
Nacional;Variación mensual;1983M01;1,7
Nacional;Variación mensual;1982M12;2,2
Nacional;Variación mensual;1982M11;0,3
Nacional;Variación mensual;1982M10;1,0
Nacional;Variación mensual;1982M09;0,1
Nacional;Variación mensual;1982M08;0,7
Nacional;Variación mensual;1982M07;1,3
Nacional;Variación mensual;1982M06;1,0
Nacional;Variación mensual;1982M05;1,4
Nacional;Variación mensual;1982M04;1,3
Nacional;Variación mensual;1982M03;1,0
Nacional;Variación mensual;1982M02;0,8
Nacional;Variación mensual;1982M01;2,1
Nacional;Variación mensual;1981M12;1,5
Nacional;Variación mensual;1981M11;0,9
Nacional;Variación mensual;1981M10;1,1
Nacional;Variación mensual;1981M09;0,8
Nacional;Variación mensual;1981M08;1,2
Nacional;Variación mensual;1981M07;2,0
Nacional;Variación mensual;1981M06;0,1
Nacional;Variación mensual;1981M05;0,5
Nacional;Variación mensual;1981M04;1,0
Nacional;Variación mensual;1981M03;2,0
Nacional;Variación mensual;1981M02;0,5
Nacional;Variación mensual;1981M01;2,0
Nacional;Variación mensual;1980M12;1,4
Nacional;Variación mensual;1980M11;1,0
Nacional;Variación mensual;1980M10;0,8
Nacional;Variación mensual;1980M09;1,1
Nacional;Variación mensual;1980M08;1,2
Nacional;Variación mensual;1980M07;1,4
Nacional;Variación mensual;1980M06;1,6
Nacional;Variación mensual;1980M05;0,7
Nacional;Variación mensual;1980M04;1,0
Nacional;Variación mensual;1980M03;0,5
Nacional;Variación mensual;1980M02;0,9
Nacional;Variación mensual;1980M01;2,8
Nacional;Variación mensual;1979M12;1,5
Nacional;Variación mensual;1979M11;0,2
Nacional;Variación mensual;1979M10;1,3
Nacional;Variación mensual;1979M09;1,3
Nacional;Variación mensual;1979M08;1,0
Nacional;Variación mensual;1979M07;2,2
Nacional;Variación mensual;1979M06;0,9
Nacional;Variación mensual;1979M05;1,2
Nacional;Variación mensual;1979M04;1,5
Nacional;Variación mensual;1979M03;1,0
Nacional;Variación mensual;1979M02;0,8
Nacional;Variación mensual;1979M01;1,7
Nacional;Variación mensual;1978M12;1,4
Nacional;Variación mensual;1978M11;0,4
Nacional;Variación mensual;1978M10;0,9
Nacional;Variación mensual;1978M09;0,8
Nacional;Variación mensual;1978M08;1,7
Nacional;Variación mensual;1978M07;2,2
Nacional;Variación mensual;1978M06;1,0
Nacional;Variación mensual;1978M05;1,0
Nacional;Variación mensual;1978M04;2,1
Nacional;Variación mensual;1978M03;1,3
Nacional;Variación mensual;1978M02;1,0
Nacional;Variación mensual;1978M01;1,6
