Comunidades y Ciudades Autónomas;Grupos ECOICOP;Tipo de dato;Periodo;Total
01 Andalucía;Índice general;Variación anual;2014M09;-0,3
01 Andalucía;Índice general;Variación anual;2014M08;-0,8
01 Andalucía;Índice general;Variación anual;2014M07;-0,6
01 Andalucía;Índice general;Variación anual;2014M06;-0,1
01 Andalucía;Índice general;Variación anual;2014M05;0,1
01 Andalucía;Índice general;Variación anual;2014M04;0,3
01 Andalucía;Índice general;Variación anual;2014M03;-0,1
01 Andalucía;Índice general;Variación anual;2014M02;-0,2
01 Andalucía;Índice general;Variación anual;2014M01;0,1
01 Andalucía;Índice general;Variación anual;2013M12;0,3
01 Andalucía;Índice general;Variación anual;2013M11;0,2
01 Andalucía;Índice general;Variación anual;2013M10;-0,1
01 Andalucía;Índice general;Variación anual;2013M09;0,2
01 Andalucía;Índice general;Variación anual;2013M08;1,4
01 Andalucía;Índice general;Variación anual;2013M07;1,6
01 Andalucía;Índice general;Variación anual;2013M06;1,9
01 Andalucía;Índice general;Variación anual;2013M05;1,5
01 Andalucía;Índice general;Variación anual;2013M04;1,2
01 Andalucía;Índice general;Variación anual;2013M03;2,2
01 Andalucía;Índice general;Variación anual;2013M02;2,6
01 Andalucía;Índice general;Variación anual;2013M01;2,5
01 Andalucía;Índice general;Variación anual;2012M12;2,6
01 Andalucía;Índice general;Variación anual;2012M11;2,6
01 Andalucía;Índice general;Variación anual;2012M10;3,1
01 Andalucía;Índice general;Variación anual;2012M09;3,1
01 Andalucía;Índice general;Variación anual;2012M08;2,4
01 Andalucía;Índice general;Variación anual;2012M07;2,0
01 Andalucía;Índice general;Variación anual;2012M06;1,6
01 Andalucía;Índice general;Variación anual;2012M05;1,6
01 Andalucía;Índice general;Variación anual;2012M04;1,8
01 Andalucía;Índice general;Variación anual;2012M03;1,6
01 Andalucía;Índice general;Variación anual;2012M02;1,7
01 Andalucía;Índice general;Variación anual;2012M01;1,7
01 Andalucía;Índice general;Variación anual;2011M12;2,1
01 Andalucía;Índice general;Variación anual;2011M11;2,7
01 Andalucía;Índice general;Variación anual;2011M10;2,9
01 Andalucía;Índice general;Variación anual;2011M09;3,1
01 Andalucía;Índice general;Variación anual;2011M08;2,9
01 Andalucía;Índice general;Variación anual;2011M07;3,1
01 Andalucía;Índice general;Variación anual;2011M06;3,3
01 Andalucía;Índice general;Variación anual;2011M05;3,7
01 Andalucía;Índice general;Variación anual;2011M04;3,9
01 Andalucía;Índice general;Variación anual;2011M03;3,8
01 Andalucía;Índice general;Variación anual;2011M02;3,7
01 Andalucía;Índice general;Variación anual;2011M01;3,5
01 Andalucía;Índice general;Variación anual;2010M12;3,2
01 Andalucía;Índice general;Variación anual;2010M11;2,5
01 Andalucía;Índice general;Variación anual;2010M10;2,5
01 Andalucía;Índice general;Variación anual;2010M09;2,2
01 Andalucía;Índice general;Variación anual;2010M08;1,8
01 Andalucía;Índice general;Variación anual;2010M07;1,9
01 Andalucía;Índice general;Variación anual;2010M06;1,5
01 Andalucía;Índice general;Variación anual;2010M05;1,7
01 Andalucía;Índice general;Variación anual;2010M04;1,4
01 Andalucía;Índice general;Variación anual;2010M03;1,2
01 Andalucía;Índice general;Variación anual;2010M02;0,7
01 Andalucía;Índice general;Variación anual;2010M01;0,9
01 Andalucía;Índice general;Variación anual;2009M12;0,6
02 Aragón;Índice general;Variación anual;2023M12;2,5
02 Aragón;Índice general;Variación anual;2023M11;2,7
02 Aragón;Índice general;Variación anual;2023M10;2,5
02 Aragón;Índice general;Variación anual;2023M09;2,9
02 Aragón;Índice general;Variación anual;2023M08;2,1
02 Aragón;Índice general;Variación anual;2023M07;1,8
02 Aragón;Índice general;Variación anual;2023M06;1,1
02 Aragón;Índice general;Variación anual;2023M05;2,6
02 Aragón;Índice general;Variación anual;2023M04;3,3
02 Aragón;Índice general;Variación anual;2023M03;2,7
02 Aragón;Índice general;Variación anual;2023M02;5,9
02 Aragón;Índice general;Variación anual;2023M01;5,8
02 Aragón;Índice general;Variación anual;2022M12;5,9
02 Aragón;Índice general;Variación anual;2022M11;7,0
02 Aragón;Índice general;Variación anual;2022M10;7,7
02 Aragón;Índice general;Variación anual;2022M09;9,4
02 Aragón;Índice general;Variación anual;2022M08;11,1
02 Aragón;Índice general;Variación anual;2022M07;11,4
02 Aragón;Índice general;Variación anual;2022M06;11,0
02 Aragón;Índice general;Variación anual;2022M05;9,3
02 Aragón;Índice general;Variación anual;2022M04;9,4
02 Aragón;Índice general;Variación anual;2022M03;10,7
02 Aragón;Índice general;Variación anual;2022M02;8,5
02 Aragón;Índice general;Variación anual;2022M01;6,6
02 Aragón;Índice general;Variación anual;2021M12;7,2
02 Aragón;Índice general;Variación anual;2021M11;6,1
02 Aragón;Índice general;Variación anual;2021M10;5,8
02 Aragón;Índice general;Variación anual;2021M09;4,4
02 Aragón;Índice general;Variación anual;2021M08;3,7
02 Aragón;Índice general;Variación anual;2021M07;3,2
02 Aragón;Índice general;Variación anual;2021M06;3,2
02 Aragón;Índice general;Variación anual;2021M05;3,2
02 Aragón;Índice general;Variación anual;2021M04;2,6
02 Aragón;Índice general;Variación anual;2021M03;1,6
02 Aragón;Índice general;Variación anual;2021M02;-0,1
02 Aragón;Índice general;Variación anual;2021M01;0,5
02 Aragón;Índice general;Variación anual;2020M12;-0,6
02 Aragón;Índice general;Variación anual;2020M11;-0,8
02 Aragón;Índice general;Variación anual;2020M10;-0,8
02 Aragón;Índice general;Variación anual;2020M09;-0,5
02 Aragón;Índice general;Variación anual;2020M08;-0,7
02 Aragón;Índice general;Variación anual;2020M07;-0,7
02 Aragón;Índice general;Variación anual;2020M06;-0,6
02 Aragón;Índice general;Variación anual;2020M05;-1,3
02 Aragón;Índice general;Variación anual;2020M04;-1,2
02 Aragón;Índice general;Variación anual;2020M03;-0,2
02 Aragón;Índice general;Variación anual;2020M02;0,6
02 Aragón;Índice general;Variación anual;2020M01;1,0
02 Aragón;Índice general;Variación anual;2019M12;0,8
02 Aragón;Índice general;Variación anual;2019M11;0,3
02 Aragón;Índice general;Variación anual;2019M10;0,1
02 Aragón;Índice general;Variación anual;2019M09;0,1
02 Aragón;Índice general;Variación anual;2019M08;0,4
02 Aragón;Índice general;Variación anual;2019M07;0,5
02 Aragón;Índice general;Variación anual;2019M06;0,4
02 Aragón;Índice general;Variación anual;2019M05;0,8
02 Aragón;Índice general;Variación anual;2019M04;1,6
02 Aragón;Índice general;Variación anual;2019M03;1,2
02 Aragón;Índice general;Variación anual;2019M02;1,0
02 Aragón;Índice general;Variación anual;2019M01;1,0
02 Aragón;Índice general;Variación anual;2018M12;1,2
02 Aragón;Índice general;Variación anual;2018M11;1,7
02 Aragón;Índice general;Variación anual;2018M10;2,1
02 Aragón;Índice general;Variación anual;2018M09;2,3
02 Aragón;Índice general;Variación anual;2018M08;2,3
02 Aragón;Índice general;Variación anual;2018M07;2,4
02 Aragón;Índice general;Variación anual;2018M06;2,3
02 Aragón;Índice general;Variación anual;2018M05;2,1
02 Aragón;Índice general;Variación anual;2018M04;1,1
02 Aragón;Índice general;Variación anual;2018M03;1,1
02 Aragón;Índice general;Variación anual;2018M02;1,0
02 Aragón;Índice general;Variación anual;2018M01;0,5
02 Aragón;Índice general;Variación anual;2017M12;0,9
02 Aragón;Índice general;Variación anual;2017M11;1,6
02 Aragón;Índice general;Variación anual;2017M10;1,4
02 Aragón;Índice general;Variación anual;2017M09;1,5
02 Aragón;Índice general;Variación anual;2017M08;1,4
02 Aragón;Índice general;Variación anual;2017M07;1,4
02 Aragón;Índice general;Variación anual;2017M06;1,4
02 Aragón;Índice general;Variación anual;2017M05;1,8
02 Aragón;Índice general;Variación anual;2017M04;2,4
02 Aragón;Índice general;Variación anual;2017M03;2,2
02 Aragón;Índice general;Variación anual;2017M02;2,9
02 Aragón;Índice general;Variación anual;2017M01;2,9
02 Aragón;Índice general;Variación anual;2016M12;1,6
02 Aragón;Índice general;Variación anual;2016M11;0,6
02 Aragón;Índice general;Variación anual;2016M10;0,7
02 Aragón;Índice general;Variación anual;2016M09;0,2
02 Aragón;Índice general;Variación anual;2016M08;-0,3
02 Aragón;Índice general;Variación anual;2016M07;-0,7
02 Aragón;Índice general;Variación anual;2016M06;-1,0
02 Aragón;Índice general;Variación anual;2016M05;-1,1
02 Aragón;Índice general;Variación anual;2016M04;-1,2
02 Aragón;Índice general;Variación anual;2016M03;-0,8
02 Aragón;Índice general;Variación anual;2016M02;-0,8
02 Aragón;Índice general;Variación anual;2016M01;-0,2
02 Aragón;Índice general;Variación anual;2015M12;-0,1
02 Aragón;Índice general;Variación anual;2015M11;-0,4
02 Aragón;Índice general;Variación anual;2015M10;-0,9
02 Aragón;Índice general;Variación anual;2015M09;-1,1
02 Aragón;Índice general;Variación anual;2015M08;-0,7
02 Aragón;Índice general;Variación anual;2015M07;-0,3
02 Aragón;Índice general;Variación anual;2015M06;-0,1
02 Aragón;Índice general;Variación anual;2015M05;-0,4
02 Aragón;Índice general;Variación anual;2015M04;-0,9
02 Aragón;Índice general;Variación anual;2015M03;-0,8
02 Aragón;Índice general;Variación anual;2015M02;-1,4
02 Aragón;Índice general;Variación anual;2015M01;-1,6
02 Aragón;Índice general;Variación anual;2014M12;-1,2
02 Aragón;Índice general;Variación anual;2014M11;-0,5
02 Aragón;Índice general;Variación anual;2014M10;-0,3
02 Aragón;Índice general;Variación anual;2014M09;-0,2
02 Aragón;Índice general;Variación anual;2014M08;-0,6
02 Aragón;Índice general;Variación anual;2014M07;-0,4
02 Aragón;Índice general;Variación anual;2014M06;0,0
02 Aragón;Índice general;Variación anual;2014M05;0,0
02 Aragón;Índice general;Variación anual;2014M04;0,1
02 Aragón;Índice general;Variación anual;2014M03;-0,4
02 Aragón;Índice general;Variación anual;2014M02;-0,2
02 Aragón;Índice general;Variación anual;2014M01;0,0
02 Aragón;Índice general;Variación anual;2013M12;0,2
02 Aragón;Índice general;Variación anual;2013M11;0,2
02 Aragón;Índice general;Variación anual;2013M10;0,0
02 Aragón;Índice general;Variación anual;2013M09;0,2
02 Aragón;Índice general;Variación anual;2013M08;1,4
02 Aragón;Índice general;Variación anual;2013M07;1,7
02 Aragón;Índice general;Variación anual;2013M06;1,8
02 Aragón;Índice general;Variación anual;2013M05;1,6
02 Aragón;Índice general;Variación anual;2013M04;1,3
02 Aragón;Índice general;Variación anual;2013M03;2,3
02 Aragón;Índice general;Variación anual;2013M02;2,6
02 Aragón;Índice general;Variación anual;2013M01;2,5
02 Aragón;Índice general;Variación anual;2012M12;2,7
02 Aragón;Índice general;Variación anual;2012M11;2,7
02 Aragón;Índice general;Variación anual;2012M10;3,1
02 Aragón;Índice general;Variación anual;2012M09;3,2
02 Aragón;Índice general;Variación anual;2012M08;2,5
02 Aragón;Índice general;Variación anual;2012M07;2,0
02 Aragón;Índice general;Variación anual;2012M06;1,8
02 Aragón;Índice general;Variación anual;2012M05;1,9
02 Aragón;Índice general;Variación anual;2012M04;2,1
02 Aragón;Índice general;Variación anual;2012M03;1,9
02 Aragón;Índice general;Variación anual;2012M02;2,1
02 Aragón;Índice general;Variación anual;2012M01;2,1
02 Aragón;Índice general;Variación anual;2011M12;2,4
02 Aragón;Índice general;Variación anual;2011M11;3,0
02 Aragón;Índice general;Variación anual;2011M10;3,0
02 Aragón;Índice general;Variación anual;2011M09;3,2
02 Aragón;Índice general;Variación anual;2011M08;3,0
02 Aragón;Índice general;Variación anual;2011M07;3,1
02 Aragón;Índice general;Variación anual;2011M06;3,2
02 Aragón;Índice general;Variación anual;2011M05;3,4
02 Aragón;Índice general;Variación anual;2011M04;3,7
02 Aragón;Índice general;Variación anual;2011M03;3,5
02 Aragón;Índice general;Variación anual;2011M02;3,4
02 Aragón;Índice general;Variación anual;2011M01;3,0
02 Aragón;Índice general;Variación anual;2010M12;2,9
02 Aragón;Índice general;Variación anual;2010M11;2,1
02 Aragón;Índice general;Variación anual;2010M10;2,1
02 Aragón;Índice general;Variación anual;2010M09;2,1
02 Aragón;Índice general;Variación anual;2010M08;1,8
02 Aragón;Índice general;Variación anual;2010M07;2,0
02 Aragón;Índice general;Variación anual;2010M06;1,6
02 Aragón;Índice general;Variación anual;2010M05;1,8
02 Aragón;Índice general;Variación anual;2010M04;1,6
02 Aragón;Índice general;Variación anual;2010M03;1,5
02 Aragón;Índice general;Variación anual;2010M02;0,9
02 Aragón;Índice general;Variación anual;2010M01;1,0
02 Aragón;Índice general;Variación anual;2009M12;0,8
03 Asturias, Principado de;Índice general;Variación anual;2023M12;2,9
03 Asturias, Principado de;Índice general;Variación anual;2023M11;2,9
03 Asturias, Principado de;Índice general;Variación anual;2023M10;3,1
03 Asturias, Principado de;Índice general;Variación anual;2023M09;3,2
03 Asturias, Principado de;Índice general;Variación anual;2023M08;2,6
03 Asturias, Principado de;Índice general;Variación anual;2023M07;2,1
03 Asturias, Principado de;Índice general;Variación anual;2023M06;1,6
03 Asturias, Principado de;Índice general;Variación anual;2023M05;2,9
03 Asturias, Principado de;Índice general;Variación anual;2023M04;4,0
03 Asturias, Principado de;Índice general;Variación anual;2023M03;3,6
03 Asturias, Principado de;Índice general;Variación anual;2023M02;6,1
03 Asturias, Principado de;Índice general;Variación anual;2023M01;6,1
03 Asturias, Principado de;Índice general;Variación anual;2022M12;5,8
03 Asturias, Principado de;Índice general;Variación anual;2022M11;6,7
03 Asturias, Principado de;Índice general;Variación anual;2022M10;7,4
03 Asturias, Principado de;Índice general;Variación anual;2022M09;9,0
03 Asturias, Principado de;Índice general;Variación anual;2022M08;10,6
03 Asturias, Principado de;Índice general;Variación anual;2022M07;11,1
03 Asturias, Principado de;Índice general;Variación anual;2022M06;10,3
03 Asturias, Principado de;Índice general;Variación anual;2022M05;8,9
03 Asturias, Principado de;Índice general;Variación anual;2022M04;8,3
03 Asturias, Principado de;Índice general;Variación anual;2022M03;9,5
